,Name,Price,Recorded_On,Search_Word,Link
0,GoPro-HERO7-Black-Waterproof-Streaming-Stabilization,$376.56,2019-01-29,gopro,https://www.amazon.com/GoPro-HERO7-Black-Waterproof-Streaming-Stabilization/dp/B07GDGZCCH
1,GoPro-HERO5-Black-Waterproof-Digital,$218.82,2019-01-29,gopro,https://www.amazon.com/GoPro-HERO5-Black-Waterproof-Digital/dp/B01M14ATO0
2,AKASO-Underwater-Waterproof-Camcorder-Accessories,$79.99,2019-01-29,gopro,https://www.amazon.com/AKASO-Underwater-Waterproof-Camcorder-Accessories/dp/B076DD5JNS
3,GoPro-HERO-Waterproof-Digital-Action-x,$179.98,2019-01-29,gopro,https://www.amazon.com/GoPro-HERO-Waterproof-Digital-Action-x/dp/B07B7YPKQX
4,AKASO-EK7000-Sports-Waterproof-Camcorder,$59.99,2019-01-29,gopro,https://www.amazon.com/AKASO-EK7000-Sports-Waterproof-Camcorder/dp/B01HGM33HG
5,GoPro-White-Action-Camera-Accessory,$226.92,2019-01-29,gopro,https://www.amazon.com/GoPro-White-Action-Camera-Accessory/dp/B01MZD6F2Z
6,GoPro-Session-Waterproof-Certified-Refurbished,$104.99,2019-01-29,gopro,https://www.amazon.com/GoPro-Session-Waterproof-Certified-Refurbished/dp/B06XWLWH6Y
7,GoPro-HERO7-White-Waterproof-Digital,$176.00,2019-01-29,gopro,https://www.amazon.com/GoPro-HERO7-White-Waterproof-Digital/dp/B07GDFTSPV
8,Campark-Waterproof-Rechargeable-Batteries-Accessories,$49.99,2019-01-29,gopro,https://www.amazon.com/Campark-Waterproof-Rechargeable-Batteries-Accessories/dp/B01MXXP4EC
9,Neewer-Accessory-Session-VicTsing-Lightdow,$23.99,2019-01-29,gopro,https://www.amazon.com/Neewer-Accessory-Session-VicTsing-Lightdow/dp/B01171X0UW
10,GoPro-Hero5-Black-E-Commerce-Packaging,$212.99,2019-01-29,gopro,https://www.amazon.com/GoPro-Hero5-Black-E-Commerce-Packaging/dp/B01MT0TJOM
11,GoPro-HERO6-Black-Waterproof-Digital,$298.99,2019-01-29,gopro,https://www.amazon.com/GoPro-HERO6-Black-Waterproof-Digital/dp/B074X5WPC5
12,GoPro-HERO5-Camera-Bundle-Battery,$259.89,2019-01-29,gopro,https://www.amazon.com/GoPro-HERO5-Camera-Bundle-Battery/dp/B07DVY1SQC
13,GoPro-HERO5-Session-Waterproof-Digital,$255.31,2019-01-29,gopro,https://www.amazon.com/GoPro-HERO5-Session-Waterproof-Digital/dp/B01LZTLCFX
14,GoPro-HERO7-Silver-Waterproof-Digital,$249.00,2019-01-29,gopro,https://www.amazon.com/GoPro-HERO7-Silver-Waterproof-Digital/dp/B07GDGZCCJ
15,Dragon-Touch-Underwater-Waterproof-Accessories,$49.99,2019-01-29,gopro,https://www.amazon.com/Dragon-Touch-Underwater-Waterproof-Accessories/dp/B07B2W96JH
16,GoPro-Silver-Action-Camera-Accessory,$297.99,2019-01-29,gopro,https://www.amazon.com/GoPro-Silver-Action-Camera-Accessory/dp/B01N13ZZ8X
17,GoPro-Battery-Sandisk-MicroSDHC-Polaroid,$399.00,2019-01-29,gopro,https://www.amazon.com/GoPro-Battery-Sandisk-MicroSDHC-Polaroid/dp/B07KRPBCZX
18,GoPro-Black-Action-Camera-Accessory,$407.87,2019-01-29,gopro,https://www.amazon.com/GoPro-Black-Action-Camera-Accessory/dp/B077KJZBBN
19,GoPro-CHDHA-301-HERO-Certified-Refurbished,$78.99,2019-01-29,gopro,https://www.amazon.com/GoPro-CHDHA-301-HERO-Certified-Refurbished/dp/B07DM6BGXT
20,GoPro-Battery-Charger-Official-Accessory,$39.95,2019-01-29,gopro,https://www.amazon.com/GoPro-Battery-Charger-Official-Accessory/dp/B01LZHRYJS
21,GoPro-HERO6-Black-Action-Camera,$279.99,2019-01-29,gopro,https://www.amazon.com/GoPro-HERO6-Black-Action-Camera/dp/B07FL9SM19
22,GoPro-Session-Waterproof-Digital-Action,$159.99,2019-01-29,gopro,https://www.amazon.com/GoPro-Session-Waterproof-Digital-Action/dp/B01C80O0ZU
23,GoPro-HERO5-Black-SanDisk-Memory,$279.95,2019-01-29,gopro,https://www.amazon.com/GoPro-HERO5-Black-SanDisk-Memory/dp/B01MU3M978
24,Rechargeable-Battery-GoPro-Official-Accessory,$19.00,2019-01-29,gopro,https://www.amazon.com/Rechargeable-Battery-GoPro-Official-Accessory/dp/B01LWKCIQN
25,GoPro-Adventure-Camera-Certified-Refurbished,$114.98,2019-01-29,gopro,https://www.amazon.com/GoPro-Adventure-Camera-Certified-Refurbished/dp/B014JP84BS
26,GoPro-White-Waterproof-Flexible-Floating,$249.95,2019-01-29,gopro,https://www.amazon.com/GoPro-White-Waterproof-Flexible-Floating/dp/B07J2SRFM5
27,GoPro-Fusion-Waterproof-Digital-Spherical,$599.00,2019-01-29,gopro,https://www.amazon.com/GoPro-Fusion-Waterproof-Digital-Spherical/dp/B0792MJLNM
28,Smatree-Baseball-GoPro-Session-58-60cm,$16.99,2019-01-29,gopro,https://www.amazon.com/Smatree-Baseball-GoPro-Session-58-60cm/dp/B01DZ9BM8Q
29,Digital-Action-Camera-Photos-SanDisk,$419.95,2019-01-29,gopro,https://www.amazon.com/Digital-Action-Camera-Photos-SanDisk/dp/B07JHYHRJF
30,VanTop-Adjustable-Waterproof-Compatible-Accessories,$74.99,2019-01-29,gopro,https://www.amazon.com/VanTop-Adjustable-Waterproof-Compatible-Accessories/dp/B07GVGWV75
