,Name,Price,Recorded_On,Search_Word,Link,ISBN-10,ISBN-13,Language,Paperback,Publisher,File Size,Print Length,Publication Date,Simultaneous Device Usage,Failed SS,Series,Hardcover,Page Numbers Source ISBN
0,Python-Data-Science-Handbook-Essential,$28.12,2019-02-04,Data Science,https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1491912057,9781491912058,978-1491912058,English,548 pages,"O'Reilly Media; 1 edition (December 10, 2016)",,,,,,,,
1,Python-Data-Science-Handbook-Essential-ebook,$26.71,2019-02-04,Data Science,https://www.amazon.com/Python-Data-Science-Handbook-Essential-ebook/dp/B01N2JT3ST,,,,,"O'Reilly Media; 1 edition (November 21, 2016)",22324 KB,550 pages,"November 21, 2016",Unlimited,,,,
2,Data-Science-Press-Essential-Knowledge-ebook,$8.63,2019-02-04,Data Science,https://www.amazon.com/Data-Science-Press-Essential-Knowledge-ebook/dp/B07C4HKQ9N,,,,,,,,,,True,,,
3,Data-Science-Press-Essential-Knowledge,$13.47,2019-02-04,Data Science,https://www.amazon.com/Data-Science-Press-Essential-Knowledge/dp/0262535432,0262535432,,English,280 pages,"The MIT Press (April 13, 2018)",,,,,,MIT Press Essential Knowledge series<br/>,,
4,Data-Science-Business-Data-Analytic-Thinking,$14.33,2019-02-04,Data Science,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323&selectObb=rent,,,,,,,,,,True,,,
5,Data-Science-Business-Data-Analytic-Thinking,$28.66,2019-02-04,Data Science,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323&selectObb=rent,,,,,,,,,,True,,,
6,Data-Science-Business-Data-Analytic-Thinking-ebook,$25.90,2019-02-04,Data Science,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking-ebook/dp/B00E6EQ3X4&selectObb=rent,,,,,,,,,,True,,,
7,Data-Science-Scratch-Principles-Python,$22.00,2019-02-04,Data Science,https://www.amazon.com/Data-Science-Scratch-Principles-Python/dp/149190142X,149190142X,978-1491901427,English,330 pages,"O'Reilly Media; 1 edition (April 30, 2015)",,,,,,,,
8,Data-Science-Scratch-Principles-Python-ebook,$19.49,2019-02-04,Data Science,https://www.amazon.com/Data-Science-Scratch-Principles-Python-ebook/dp/B00W4DTP2A&selectObb=rent,,,,,,,,,,True,,,
9,Data-Science-Transform-Visualize-Model,$23.62,2019-02-04,Data Science,https://www.amazon.com/Data-Science-Transform-Visualize-Model/dp/1491910399,1491910399,978-1491910399,English,522 pages,"O'Reilly Media; 1 edition (January 5, 2017)",,,,,,,,
10,Data-Science-Transform-Visualize-Model-ebook,$19.49,2019-02-04,Data Science,https://www.amazon.com/Data-Science-Transform-Visualize-Model-ebook/dp/B01NAJAEN5,,,,,"O'Reilly Media; 1 edition (December 12, 2016)",47120 KB,522 pages,"December 12, 2016",Unlimited,,,,
11,Hands-Machine-Learning-Scikit-Learn-TensorFlow,$29.35,2019-02-04,Data Science,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1491962291,1491962291,978-1491962299,English,574 pages,"O'Reilly Media; 1 edition (April 9, 2017)",,,,,,,,
12,Hands-Machine-Learning-Scikit-Learn-TensorFlow-ebook,$24.99,2019-02-04,Data Science,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow-ebook/dp/B06XNKV5TS,,,,,"O'Reilly Media; 1 edition (March 13, 2017)",68608 KB,576 pages,"March 13, 2017",Unlimited,,,,
13,Science-Scratch-Python-Step-Step-ebook,$7.99,2019-02-04,Data Science,https://www.amazon.com/Science-Scratch-Python-Step-Step-ebook/dp/B07GRDWJ5L,,,,,"AI Sciences LLC; 2 edition (August 20, 2018)",5639 KB,169 pages,"August 20, 2018",Unlimited,,,,
14,Science-Scratch-Python-Step-Step,$15.95,2019-02-04,Data Science,https://www.amazon.com/Science-Scratch-Python-Step-Step/dp/1726020681,1726020681,978-1726020688,English,167 pages,"CreateSpace Independent Publishing Platform; 2 edition (August 21, 2018)",,,,,,,,
